,J,K,M,dg,seed,mse_deep,mae_deep,mse_rcl,mae_rcl,mse_mnl,mae_mnl,mse_single,mae_single,mse_random,mae_random
0,10,0,200,rcl_mix,7456,0.0008023938876787642,0.0007814967599720469,0.005246162915913389,0.0067885594296813855,0.027510141066772246,0.023880112003864667,0.0005581863835863442,0.0007665382054144132,0.025832813176090083,0.03780412185478971
0,10,0,200,rcl_mix,145609,0.001538468882757779,0.000965840440524902,0.00430889142940033,0.005504904487041884,0.030983850653232753,0.020283021875160196,0.0005689540078987047,0.0008049685490873024,0.020937616264151054,0.03001758291335744
0,10,0,200,rcl_mix,214341,0.000650144131452946,0.0008625880154860438,0.004602142317644235,0.005793521325012068,0.03211137326493734,0.020514075252441765,0.0007563239451611139,0.0009996619505204115,0.02040164540483588,0.03023306423691939
0,10,0,200,rcl_mix,237639,0.0006898320875652466,0.000718641261252465,0.003785421809063887,0.004934701228293599,0.03384893555430897,0.018233778075833484,0.000645314113842227,0.0008465822125796276,0.018972614046674344,0.027643825892915422
0,10,0,200,rcl_mix,148649,0.0005602358654210039,0.0007267338499707441,0.0029659486969068325,0.003952477848695995,0.041486153289871604,0.014759538515717197,0.0012301621638185617,0.0016694144202804278,0.013538536266081232,0.019943010365040557
0,10,0,200,rcl_mix,763490,0.0006654470010431235,0.0009212273724763653,0.0045577217225422715,0.005621953150686726,0.03134672319243521,0.020713661672726053,0.0008582675990336238,0.0011641814123712502,0.02164597792721752,0.031076566253315195
0,10,0,200,rcl_mix,677253,0.0005900839633013494,0.000843389568833608,0.005052518954531875,0.00636368982031485,0.02706883409242824,0.022960960009132225,0.000748519379041626,0.0010062978837430728,0.025983748876100714,0.03741553567403894
0,10,0,200,rcl_mix,560404,0.0005219599801617032,0.0006919606607748549,0.003787144270016012,0.004934487547567285,0.03385423092104876,0.017740419443449635,0.0009540383454945977,0.0012495093637653457,0.018142483977060874,0.026252625564304653
0,10,0,200,rcl_mix,591830,0.0005638745197863635,0.0007911505249787636,0.004093663088523467,0.0051895617154724075,0.033137726839616057,0.017591548014204598,0.0008608551818570109,0.0012276670612297509,0.0190466456430586,0.026504322356507848
0,10,0,200,rcl_mix,84947,0.000695438664872157,0.0009578595054162155,0.004906241799376147,0.006024874856289477,0.02648409859971303,0.02245530466298471,0.0006368157710282546,0.0008961896106806686,0.026162256984377158,0.03611940479056099
0,10,0,200,rcl_mix,26672,0.0005280208921450637,0.0007064985809980937,0.003926281373830182,0.004985680941425108,0.03465438747377549,0.018071591231609372,0.0008982999148034885,0.0012706601977597314,0.017330049126273606,0.02635152745347716
0,10,0,200,rcl_mix,184535,0.000548837312370353,0.000717730822971126,0.0056602182742697005,0.007056994844125321,0.025069675339921053,0.024979622019650007,0.0005186758173375063,0.0006936941542305958,0.02929177461137005,0.040638716371993046
0,10,0,200,rcl_mix,874369,0.0014061907636535131,0.0007113928095454167,0.003739939298452537,0.004680773100828715,0.03531843237478169,0.01787296032217855,0.0011106198341043832,0.0014698410261307863,0.017827088868242056,0.025785336766169602
0,10,0,200,rcl_mix,39876,0.0005375708862638072,0.0006840431885941293,0.004786672984540214,0.005821235925959845,0.028838201320144502,0.021470164949582194,0.0006319372739778486,0.0008898745723596297,0.022925834127224914,0.03346905672706486
0,10,0,200,rcl_mix,738836,0.0007618217720902719,0.0008795471714206523,0.004541056613771153,0.005667470715165903,0.029812154316742712,0.02129787560476784,0.0006233813085534489,0.00085087039342929,0.022441224315698286,0.03317594341251689
0,10,0,200,rcl_mix,100589,0.0009250295281322606,0.0008963836986276317,0.005622017074960902,0.006851178574282007,0.026272653253096915,0.02640546605672403,0.0005519300504022689,0.0007824900070469758,0.0300479350555743,0.04346745794751051
0,10,0,200,rcl_mix,812811,0.00045545451069528396,0.0006256717035457918,0.0024697993159140054,0.003346525040030626,0.0473578554684343,0.012375690289983733,0.0017484853850873033,0.002373176594138431,0.011224649730207563,0.01623204960415677
0,10,0,200,rcl_mix,75122,0.0005582108095535201,0.0008042989006368197,0.00458110073545703,0.005627641271065366,0.02933035391557631,0.02126457651741679,0.0006027761073627196,0.0008613392394588602,0.021958454132100444,0.03182751373499752
0,10,0,200,rcl_mix,182935,0.0006309303838662081,0.0008436685481058283,0.005096005874693714,0.0062638822158898304,0.027613644948403078,0.024246825395244396,0.0006285863683029328,0.0008799264178984752,0.02591120051936187,0.03804356138339454
0,10,0,200,rcl_mix,911677,0.0006908772938091338,0.000733807123171695,0.00404242356565792,0.005078667936552783,0.02984988629643781,0.018537268090864215,0.0006415575510642596,0.0009073091061892665,0.01936317265588317,0.027536458057626008
