type,mse_deep,mse_mnl,mse_rcl,mse_single,rmse_deep,rmse_mnl,rmse_rcl,rmse_single
cross,0.0018933192143343583,0.01289606765994365,0.002556644610679212,0.13398329069231327,0.04351228808433726,0.11356085443471994,0.050563273338256214,0.3660372804678688
self,0.011453978237936398,0.6836409490978826,0.08657174294163648,0.7612447841152015,0.10702326026587117,0.8268258275464565,0.29423076477764265,0.8724934292676372
