,J,K,M,dg,seed,mse_deep,mae_deep,mse_rcl,mae_rcl,mse_mnl,mae_mnl,mse_single,mae_single,mse_random,mae_random
0,5,0,100,rcl_in3,7456,4.26306067495383e-05,0.002884045751274159,0.0004832494317106965,0.01741076758895421,0.0005890754711215495,0.019602954380180008,0.0007842285764869135,0.021001064903279586,0.009373422718223246,0.07424969828485758
0,5,0,100,rcl_in3,145609,0.00030362004558659184,0.006648363486320006,0.0005022518103352193,0.017683295248595025,0.0006177838050331625,0.020418572450804705,0.001096152319777578,0.027337181850232806,0.0105578101523205,0.07859446970499231
0,5,0,100,rcl_in3,214341,0.00016948058436791556,0.006658710888229979,0.0005360687113019514,0.018622331994040023,0.0007454794984434776,0.02181574253215672,0.0018491422827022267,0.030901635716387377,0.014417665341622525,0.09166688508316886
0,5,0,100,rcl_in3,237639,0.0001289564434811028,0.006077404715357908,0.0004755464942585587,0.01776431020995484,0.0005958158281927071,0.019961095863812405,0.0013039808435568077,0.025385103359421034,0.01051146928757075,0.07974204600100433
0,5,0,100,rcl_in3,148649,0.00019590124325511726,0.006730879217461929,0.0005546952696210951,0.018464172449849815,0.0006781711507126097,0.021158736295797897,0.0008942554218362129,0.022721611298031536,0.009944898930627779,0.07528722892997258
0,5,0,100,rcl_in3,763490,0.0001271292171720319,0.005562056000422247,0.0004637650456806033,0.01689196024368868,0.0005791575126526357,0.01973813018058713,0.0008669041233845647,0.021729239493959187,0.011606338071602306,0.08319700767611264
0,5,0,100,rcl_in3,677253,0.00033063283382572453,0.008739365423951526,0.000557032359039318,0.01870558612176105,0.0007071476619050722,0.021601953388193703,0.0010346241091331392,0.023057964310599907,0.008776391047961754,0.07149781192943946
0,5,0,100,rcl_in3,560404,0.0001253789427991854,0.005597322329385065,0.0005267894871418892,0.018104481785873358,0.0006293620895186568,0.020928782858391316,0.0010656612043125067,0.023668169397092514,0.009313499312164977,0.07208084759639016
0,5,0,100,rcl_in3,591830,0.00012823535616711615,0.005629139767032475,0.00048304203485481076,0.01692917615742445,0.0005936960970691102,0.019758227138401627,0.0009313551625818976,0.019691944721575955,0.009380066927892816,0.07385390528145243
0,5,0,100,rcl_in3,84947,0.00017195864956196446,0.007163720398013828,0.0005374408716949851,0.018160779274499047,0.0007085774715666674,0.021062963841589424,0.0012734222934292782,0.025739570661803136,0.010401535178439801,0.07841093559011064
0,5,0,100,rcl_in3,26672,0.0002731883049042803,0.007029361436296743,0.0005596141534615777,0.018061942339163778,0.0006895055971056111,0.020350035857765937,0.0011994113620716713,0.022374940357779195,0.009390145010530353,0.07322707822538577
0,5,0,100,rcl_in3,184535,0.00015536506175185965,0.005926269085063148,0.0005005367519079737,0.01818997742412841,0.0006259386855992917,0.02041865365152239,0.001722938329352373,0.028249236178035316,0.00881405066266436,0.07382783215348378
0,5,0,100,rcl_in3,874369,0.0003219972067373182,0.009382697601383575,0.0005921544859068318,0.01948967618789465,0.0008164806747474121,0.023443159427566033,0.0014440646144334868,0.028575405345958985,0.013632295335908451,0.08800530496871117
0,5,0,100,rcl_in3,39876,0.0001904784925536485,0.0072009400026509665,0.0005165849973527238,0.01768480820968221,0.0006339632225185618,0.01954349783293777,0.0009986626701503618,0.02399897373530226,0.01085932721133721,0.07978141999051805
0,5,0,100,rcl_in3,738836,0.00022725018385264887,0.005840942313343005,0.0004155391792815553,0.01598862594317595,0.0004890437781641902,0.017144876793792074,0.0013986553459001511,0.026183567469217524,0.010433513704000207,0.07855757820627636
0,5,0,100,rcl_in3,100589,0.00021254303260714324,0.006331069826007871,0.0004986176341740305,0.01682356487679319,0.0006198807663632132,0.018990354152414613,0.0007994321127285392,0.021944973086812567,0.010935984673031704,0.08266993707320919
0,5,0,100,rcl_in3,812811,0.0001447830223125963,0.005130090025442036,0.0005272790538374099,0.01812117831375958,0.0006428008607293409,0.020395395000437088,0.0016034062100286244,0.028950061169800635,0.009410706229568163,0.07549762144756128
0,5,0,100,rcl_in3,75122,8.788874068427935e-05,0.0044715480699651,0.0004670793051699449,0.016893049372151348,0.0005703934373165409,0.019156921986303983,0.0013142554966783285,0.02683712120290341,0.00988547076021382,0.0739523386519663
0,5,0,100,rcl_in3,182935,0.0002818808607670728,0.007384423589232188,0.0005069697431183408,0.017513367785946605,0.0006401065455775647,0.019619598965637787,0.0013912448193677332,0.028358830619922216,0.009458899935567151,0.0757565444035305
0,5,0,100,rcl_in3,911677,0.0002535525243651715,0.0075036808555358925,0.0005304643445206922,0.01827393064426085,0.0006678616639846563,0.021159165518344257,0.0008863474857237047,0.0233321123688314,0.011601239385182361,0.08045021994684981
