type,ae_deep,ae_mnl,ae_rcl,ae_single
cross,0.022621223554421803,0.0470914763075702,0.03542267644125955,0.14475151480123938
self,0.06094398334344895,0.6229043235217564,0.17769589260047636,0.4057024119417967
