market_id,i,j,old_price,new_price,type,true_elasticity,pred_elasticity_deep,pred_elasticity_rcl,pred_elasticity_mnl,pred_elasticity_single,price_i,error_deep,error_rcl,error_mnl,error_single,seed,ae_deep,ae_mnl,ae_rcl,ae_single,mse_deep,mse_mnl,mse_rcl,mse_single
0.0,0,0,2.315673470889459,2.547240817978405,self,-0.9791318094140764,-0.9361603,-0.9375306,-1.8112411,-0.8390963,2.315673470889459,0.0429714834100481,0.0416012322313067,-0.8321093404882672,0.1400355016595599,7456,0.0429714834100481,0.8321093404882672,0.0416012322313067,0.1400355016595599,0.0018465483864600388,0.6924059545278191,0.0017306625231631114,0.019609941725044606
0.0,0,1,0.1492681284465504,0.1492681284465504,cross,0.0616271842243297,0.019668322,0.04488562,0.16821137,0.00550652,2.315673470889459,-0.0419588621677978,-0.0167415637495143,0.1065841864822285,-0.0561206640647871,7456,0.0419588621677978,0.1065841864822285,0.0167415637495143,0.0561206640647871,0.0017605461144162538,0.011360188808078462,0.00028027995677905125,0.0031495289350726863
1.0,0,0,3.5915615909360428,3.9507177500296473,self,-0.8406725067594119,-0.6756343,-1.0056541,-2.7519436,-1.0803351,3.5915615909360428,0.1650381822087832,-0.1649815898439817,-1.911271081497424,-0.2396626334688596,7456,0.1650381822087832,1.911271081497424,0.1649815898439817,0.2396626334688596,0.02723760158677952,3.6529571469683333,0.027218924987447806,0.057438177881228944
1.0,0,1,1.2305631740807192,1.2305631740807192,cross,0.0474266817720538,0.093313366,0.059865486,0.14039673,0.1447712,3.5915615909360428,0.045886684402644,0.0124388041047448,0.0929700473396176,0.0973445216266507,7456,0.045886684402644,0.0929700473396176,0.0124388041047448,0.0973445216266507,0.002105587805467852,0.008643429702330738,0.0001547238475562161,0.009475955890721467
2.0,0,0,3.7052368181991766,4.075760500019094,self,-1.0371453092740754,-0.30345193,-0.7471238,-2.8574562,-0.8707877,3.7052368181991766,0.7336933837579469,0.2900215314077119,-1.8203108980013152,0.166357629124997,7456,0.7336933837579469,1.8203108980013152,0.2900215314077119,0.166357629124997,0.5383059813701859,3.3135317653823546,0.08411248868007443,0.02767486076809005
2.0,0,1,0.6737880107723266,0.6737880107723266,cross,0.0529318929901177,0.07721537,0.029347196,0.09954664,0.038983855,3.7052368181991766,0.024283480525965,-0.023584696768766,0.0466147481212561,-0.0139480375936085,7456,0.024283480525965,0.0466147481212561,0.023584696768766,0.0139480375936085,0.0005896874264549214,0.002172934742408149,0.0005562379216746415,0.00019454775271271602
3.0,0,0,0.4862763247453197,0.5349039572198517,self,-0.2116784426015373,-0.17433435,-0.4188269,-0.25569308,-0.2191773,0.4862763247453197,0.0373440953534599,-0.2071484652716163,-0.0440146354395392,-0.0074988630968574,7456,0.0373440953534599,0.0440146354395392,0.2071484652716163,0.0074988630968574,0.0013945814577683055,0.0019372881328755401,0.04291048666438602,5.623294774540976e-05
3.0,0,1,0.8406479749761901,0.8406479749761901,cross,0.1448160572585335,0.35284787,0.64976215,0.19755228,0.22520603,0.4862763247453197,0.2080318169060477,0.5049460963669548,0.0527362213793524,0.0803899751368293,7456,0.2080318169060477,0.0527362213793524,0.5049460963669548,0.0803899751368293,0.04327723684523135,0.0027811090453720654,0.25497056023622594,0.006462548102500033
4.0,0,0,3.2403182440653726,3.56435006847191,self,-8.537046693236798,-8.491479,-2.771938,-2.4048178,-7.233611,3.2403182440653726,0.0455677732538877,5.765108607680768,6.132228873641461,1.3034355863642393,7456,0.0455677732538877,6.132228873641461,5.765108607680768,1.3034355863642393,0.0020764219593177235,37.60423095872202,33.23647725835488,1.6989443278006884
4.0,0,1,3.3090973765052274,3.3090973765052274,cross,52.10588322750071,53.397385,2.056447,0.28275272,29.261822,3.2403182440653726,1.2915014160539826,-50.049436198386935,-51.82313050499895,-22.844061480674533,7456,1.2915014160539826,51.82313050499895,50.049436198386935,22.844061480674533,1.6679759076694423,2685.6368553381526,2504.9460637764046,521.8511449328379
5.0,0,0,1.4254510210459044,1.5679961231504949,self,-0.5175485841532047,-0.69660443,-1.0480404,-0.8657678,-0.45758766,1.4254510210459044,-0.1790558465223019,-0.5304918058614437,-0.3482191928128902,0.0599609247942264,7456,0.1790558465223019,0.3482191928128902,0.5304918058614437,0.0599609247942264,0.03206099617381813,0.1212566062432608,0.2814215560861357,0.0035953125021788743
5.0,0,1,1.977294645990301,1.977294645990301,cross,0.1438742086882577,-0.0020340243,1.6506337,0.43642405,0.1631807,1.4254510210459044,-0.1459082330237017,1.5067594840531364,0.2925498380665793,0.0193064852957739,7456,0.1459082330237017,0.2925498380665793,1.5067594840531364,0.0193064852957739,0.021289212464098838,0.08558540775278177,2.270324142784074,0.0003727403744759338
6.0,0,0,3.564299294590634,3.920729224049698,self,-0.9956220846620653,-1.2043364,-2.8184412,-2.673673,-1.5464536,3.564299294590634,-0.2087143201383499,-1.8228190679105667,-1.6780508298429395,-0.5508315104993728,7456,0.2087143201383499,1.6780508298429395,1.8228190679105667,0.5508315104993728,0.04356166743081361,2.815854587536578,3.322669354338347,0.3034153529590207
6.0,0,1,2.995626006950732,2.995626006950732,cross,0.046932086997113,-0.30838925,0.9138695,0.22380562,-0.282421,3.564299294590634,-0.3553213334608887,0.8669374131631042,0.1768735342692519,-0.3293530798483703,7456,0.3553213334608887,0.1768735342692519,0.8669374131631042,0.3293530798483703,0.12625325001242405,0.031284247124896226,0.7515804783419349,0.10847345120560699
