market_id,i,j,old_price,new_price,type,true_elasticity,pred_elasticity_deep,pred_elasticity_rcl,pred_elasticity_mnl,pred_elasticity_single,price_i,error_deep,error_rcl,error_mnl,error_single
0.0,0,0,3.4100465860790155,3.7510512446869173,self,0.4079274478993807,-5.5251017,-1.2368971,-2.0986102,-5.873207,3.4100465860790155,-5.9330291095815095,-1.6448245588384065,-2.506537610634366,-6.281134540184537
0.0,0,1,0.8739853293051421,0.8739853293051421,cross,0.02914028155159931,-0.06410607,0.062109012,0.07050619,-0.21864772,3.4100465860790155,-0.093246351056814,0.03296873060512562,0.04136591119217892,-0.24778799998116474
0.0,0,2,1.9314549617320682,1.9314549617320682,cross,-0.05777496780513585,-0.31565243,0.051820427,0.07050607,-0.2942606,3.4100465860790155,-0.2578774622523898,0.1095953949844724,0.12828104133962454,-0.23648562346340357
0.0,0,3,3.7832903547545635,3.7832903547545635,cross,-0.2145884747800172,25.2108,0.032790586,0.07050619,10.802243,3.4100465860790155,25.425388645678456,0.24737906113236552,0.2850946675237954,11.016831707507068
0.0,0,4,2.96997841449534,2.96997841449534,cross,-0.36599864611352817,-0.69167006,0.052206792,0.07050585,-1.2851225,3.4100465860790155,-0.3256714140442477,0.4182054380508794,0.43650449613059894,-0.919123867657529
1.0,0,0,3.8752214070507676,4.262743547755845,self,-0.07773380374808628,1.7782695,-0.56751376,-2.391121,-1.6625499,3.8752214070507676,1.8560033330907377,-0.4897799601564853,-2.313387106896445,-1.5848160495768038
1.0,0,1,2.887853300401656,2.887853300401656,cross,-0.025641902170744385,0.62703913,-0.055315774,0.023960724,0.111758694,3.8752214070507676,0.6526810366731552,-0.029673871763381515,0.04960262664374396,0.1374005962234406
1.0,0,2,0.12983267009492616,0.12983267009492616,cross,0.002833987003368752,0.036695585,0.012807381,0.023960795,-0.22860625,3.8752214070507676,0.03386159765143929,0.009973394336002452,0.02112680825014649,-0.23144024086574974
1.0,0,3,0.48809789744807475,0.48809789744807475,cross,0.002898799369852781,0.19796401,0.011681438,0.023960007,0.03146435,3.8752214070507676,0.19506521325298048,0.0087826390538404,0.021061207984764338,0.02856555010863042
1.0,0,4,0.08152128981114704,0.08152128981114704,cross,0.002785795639554691,-0.07520127,0.017968953,0.02396095,-0.45871028,3.8752214070507676,-0.07798706860403223,0.015183157016237545,0.02117515421350794,-0.46149607868055503
2.0,0,0,1.1265048893199898,1.2391553782519888,self,-0.7516374038871264,-0.84501815,-0.72279316,-0.69549555,-0.52893984,1.1265048893199898,-0.0933807445351148,0.028844242018077337,0.056141858023021185,0.222697560709331
2.0,0,1,3.6380668769568416,3.6380668769568416,cross,-0.009483994600673517,2.11393,0.025981639,0.080796726,0.732508,1.1265048893199898,2.123413981554409,0.035465633181234205,0.09028072064866623,0.741991998312374
2.0,0,2,0.6221254774426979,0.6221254774426979,cross,0.08822852468369018,0.033346932,0.076950066,0.08079647,0.059690405,1.1265048893199898,-0.05488159230229865,-0.011278458892083273,-0.007432051955437766,-0.02853812000033866
2.0,0,3,3.3186992738975776,3.3186992738975776,cross,-0.010138269669002197,-0.4554558,0.041501436,0.080796145,-0.5728173,1.1265048893199898,-0.44531754016261704,0.05163970605153432,0.09093441457170834,-0.5626790559230388
2.0,0,4,0.6837861820603934,0.6837861820603934,cross,0.08640628567488262,0.034459744,0.091766,0.08079669,0.29716998,1.1265048893199898,-0.05194654202611515,0.005359714119123726,-0.0056095968797929,0.2107636977121108
3.0,0,0,0.7187292429632639,0.7906021672595903,self,-0.5772273855887282,-0.58806974,-0.4670757,-0.41653228,-0.26827222,0.7187292429632639,-0.010842351368821834,0.11015168006046894,0.16069510752781513,0.3089551645003188
3.0,0,1,2.211117565981833,2.211117565981833,cross,0.039280890867057626,0.09623189,0.07408472,0.08617779,-0.09352638,0.7187292429632639,0.05695100183790606,0.03480383063858431,0.046896897807773764,-0.13280726914102156
3.0,0,2,3.4531158404822104,3.4531158404822104,cross,0.015556873363869916,0.82039934,0.04076154,0.08617705,-0.1276102,0.7187292429632639,0.8048424706035678,0.02520466821132349,0.07062017770348238,-0.1431670799678738
3.0,0,3,1.6963833196582492,1.6963833196582492,cross,0.08226366213017428,0.13466038,0.07785705,0.08617771,0.0019450011,0.7187292429632639,0.05239671596831358,-0.004406614810762044,0.003914044588270549,-0.08031866105699265
3.0,0,4,1.0502309490247654,1.0502309490247654,cross,0.14667366392000664,0.15258761,0.10559857,0.08617766,0.1597627,0.7187292429632639,0.005913943582930681,-0.041075095003685835,-0.06049600190504539,0.013089031511702653
4.0,0,0,2.572691754068121,2.8299609294749333,self,0.03714330012804113,2.0924976,-1.1306643,-1.6153227,-1.5002816,2.572691754068121,2.0553542870759385,-1.1678076487303362,-1.6524660092115984,-1.5374248724699602
4.0,0,1,1.3076018931374374,1.3076018931374374,cross,-0.07082902223661582,-0.30560306,0.06676943,0.068516165,0.30100712,2.572691754068121,-0.23477403490945659,0.13759845078781285,0.13934518725469747,0.37183614403799214
4.0,0,2,3.852132755338169,3.852132755338169,cross,-0.10217990210071394,0.8772696,0.024629934,0.06851669,1.3638041,2.572691754068121,0.9794495277644713,0.12680983586028405,0.17069658865943738,1.4659840040446837
4.0,0,3,0.9416065450796118,0.9416065450796118,cross,-0.0186845142672722,0.019228157,0.048101597,0.06851635,-0.66583246,2.572691754068121,0.037912670923299044,0.06678611080152437,0.08720086554986879,-0.647147945659333
4.0,0,4,0.37862957433793776,0.37862957433793776,cross,0.01824912505037716,0.015428342,0.058792025,0.06851708,-0.06579955,2.572691754068121,-0.002820783125232963,0.04054289980046818,0.05026795638911793,-0.08404867427236964
5.0,0,0,1.9385519405058673,2.132407134556454,self,-0.6860528849422564,-0.48178622,-1.1163372,-1.1910864,-0.8441682,1.9385519405058673,0.2042666636764635,-0.4302842951953779,-0.5050335265338789,-0.15811530124548778
5.0,0,1,1.7975426056373998,1.7975426056373998,cross,0.05551806436728844,0.020877445,0.11971735,0.111388974,-0.12928517,1.9385519405058673,-0.034640619250649304,0.06419928772497764,0.055870909524446635,-0.1848032359952868
5.0,0,2,3.6899226524312816,3.6899226524312816,cross,-0.017906127889012798,-3.2034273,0.057366993,0.11138804,0.54280525,1.9385519405058673,-3.185521186869288,0.0752731211672778,0.12929417045817326,0.5607113823483939
5.0,0,3,1.4235592844957177,1.4235592844957177,cross,0.0855790398457886,0.09591194,0.09808552,0.11138846,0.14586885,1.9385519405058673,0.010332902576601383,0.012506482805883762,0.025809419955885288,0.06028981288877713
5.0,0,4,2.8896982599719125,2.8896982599719125,cross,-0.07791770792208655,-0.2750016,0.08393928,0.11138868,-0.61216474,1.9385519405058673,-0.19708387756146448,0.16185698455773337,0.18930639124117835,-0.5342470278719809
6.0,0,0,2.643739860705237,2.908113846775761,self,0.13433064476152562,-0.88215846,-1.0297434,-1.6658741,-2.9577174,2.643739860705237,-1.0164891029944052,-1.1640740777601828,-1.8002047683348288,-3.09204806343218
