type,ae_deep,ae_mnl,ae_rcl,ae_single
cross,0.0271521213843813,0.0324392417882325,0.00276339008216555,0.0795027560833069
self,0.15039531605190734,0.21541961182913166,0.02185888932073645,0.29944436746382785
