type,mse_deep,mse_mnl,mse_rcl,mse_single,rmse_deep,rmse_mnl,rmse_rcl,rmse_single
cross,0.0031040112442338405,0.0027878208807273737,0.00023060217692393392,0.018323486038634623,0.05571365401976288,0.05279981894597153,0.015185591095638454,0.13536427164741302
self,0.16092128101604547,0.3723737497506105,0.017155268298006062,0.19985538463485855,0.4011499482937091,0.6102243437872751,0.13097812144784357,0.4470518813682127
