,true,pred_deep,pred_rcl,pred_mnl,pred_single,pred_random
0,0.07411581306477083,0.06393012,0.07825373,0.0750835,0.13596632,0.08882861941628026
1,0.07544796109437639,0.07957728,0.080312885,0.041185204,0.09505459,0.08882861941628026
2,0.2691295207919644,0.24520054,0.26556224,0.2135514,0.095759444,0.08882861941628026
3,0.14675625183895052,0.17875929,0.14241698,0.14677517,0.11182695,0.08882861941628026
4,0.021657076834070758,0.032511227,0.022129532,0.0491243,0.14351805,0.08882861941628026
5,0.08067914749754827,0.06569335,0.08388113,0.03646363,0.096630365,0.08882861941628026
6,0.032884659851585146,0.04728125,0.030751236,0.048693463,0.14301382,0.08882861941628026
7,0.05561375594897135,0.06315919,0.05619189,0.08923835,0.15507992,0.08882861941628026
8,0.047901782570328476,0.10223419,0.046707433,0.04094024,0.13973783,0.08882861941628026
9,0.07857587860474706,0.07000346,0.074355975,0.15169445,0.109094866,0.08882861941628026
10,0.13851520864784933,0.19005308,0.13678643,0.18729818,0.09014001,0.08882861941628026
11,0.10377025115921312,0.11443252,0.10625286,0.08950702,0.0658054,0.08882861941628026
12,0.0674987012077325,0.042385876,0.06848179,0.025656335,0.042511545,0.08882861941628026
13,0.1189201352631062,0.13540013,0.11456994,0.15988585,0.08202868,0.08882861941628026
14,0.03632306268936535,0.035614923,0.034562934,0.042962156,0.090931416,0.08882861941628026
15,0.13634558718795947,0.13246173,0.13607782,0.063668646,0.05356986,0.08882861941628026
16,0.018529815809172304,0.033520654,0.016306473,0.06769091,0.139302,0.08882861941628026
17,0.14921408830434754,0.17429271,0.15891562,0.17318127,0.082455784,0.08882861941628026
18,0.03743118573234833,0.040585816,0.038739316,0.037500907,0.08328881,0.08882861941628026
19,0.09367642883240417,0.09104629,0.0906261,0.05600307,0.054657612,0.08882861941628026
20,0.03635809762920253,0.04324434,0.035728365,0.054319184,0.07386506,0.08882861941628026
21,0.14427333447829313,0.11632051,0.14811262,0.13407847,0.058616046,0.08882861941628026
22,0.05795577388174618,0.02840961,0.059898898,0.06357393,0.1097427,0.08882861941628026
23,0.11626756845532259,0.06660141,0.11876599,0.12060367,0.05781409,0.08882861941628026
24,0.13825035034078115,0.15149213,0.13752694,0.09577798,0.09105879,0.08882861941628026
25,0.06825644526293173,0.07721192,0.0661278,0.10333823,0.06626915,0.08882861941628026
26,0.05785884589117916,0.044724688,0.055345397,0.03494961,0.14607511,0.08882861941628026
27,0.052647366384204745,0.035858586,0.05074042,0.10829872,0.059009876,0.08882861941628026
28,0.09613282159638523,0.12618238,0.09040594,0.12767772,0.09283995,0.08882861941628026
29,0.08327317611579463,0.08642919,0.07851294,0.036721844,0.044033453,0.08882861941628026
30,0.06414788980140529,0.04828822,0.06437812,0.062070724,0.12365633,0.08882861941628026
31,0.06597078407716438,0.073044494,0.0592979,0.09493306,0.06750563,0.08882861941628026
32,0.13111210085615366,0.13519472,0.12582038,0.17823748,0.061648414,0.08882861941628026
33,0.03539091701358111,0.049980916,0.036675196,0.055071432,0.07041352,0.08882861941628026
34,0.06690933130874442,0.04999429,0.067616016,0.08203765,0.088488966,0.08882861941628026
35,0.11997778156786879,0.08052351,0.12448231,0.092556074,0.06577854,0.08882861941628026
36,0.104754688360104,0.078642316,0.10397518,0.116852395,0.10520483,0.08882861941628026
37,0.05483942396940738,0.049823947,0.059178613,0.04100171,0.07943361,0.08882861941628026
38,0.04131892207455944,0.04346227,0.04087482,0.04187979,0.11379692,0.08882861941628026
39,0.09743247130249123,0.07807884,0.09924192,0.090074524,0.12978375,0.08882861941628026
