market_id,i,j,old_price,new_price,type,true_elasticity,pred_elasticity_deep,pred_elasticity_rcl,pred_elasticity_mnl,pred_elasticity_single,price_i,error_deep,error_rcl,error_mnl,error_single
0.0,0,0,0.9843780073144064,1.0828158080458472,self,0.0,-0.00038513495,0.00039269202,0.0020312814,0.002113667,0.9843780073144064,-0.0003851349465548992,0.00039269201806746423,0.0020312813576310873,0.002113667083904147
0.0,0,1,2.697266192671372,2.697266192671372,cross,0.0,0.0012764774,-0.00026672278,-0.0013323463,0.013908583,0.9843780073144064,0.001276477356441319,-0.00026672278181649745,-0.001332346349954605,0.013908582739531994
0.0,0,2,3.556640646335647,3.556640646335647,cross,0.0,0.010430947,-0.0002819607,-0.0013329278,0.015491414,0.9843780073144064,0.010430946946144104,-0.00028196070343255997,-0.0013329278444871306,0.01549141388386488
0.0,0,3,3.715460458546193,3.715460458546193,cross,0.0,0.013914784,-0.00026673282,-0.0013325228,0.015457989,0.9843780073144064,0.013914784416556358,-0.000266732822638005,-0.0013325228355824947,0.01545798871666193
0.0,0,4,1.5873189197516284,1.5873189197516284,cross,0.0,0.03641045,-0.00023867379,-0.0013326524,0.017924171,0.9843780073144064,0.03641045093536377,-0.0002386737905908376,-0.0013326524058356881,0.017924170941114426
1.0,0,0,3.40575488404453,3.746330372448983,self,0.0,-0.062017728,0.0012317342,0.0069988277,-0.023507917,3.40575488404453,-0.06201772764325142,0.001231734175235033,0.006998827680945396,-0.023507917299866676
1.0,0,1,1.034925559409857,1.034925559409857,cross,0.0,0.00495171,-0.0008002319,-0.0046474305,-0.042441197,3.40575488404453,0.004951709881424904,-0.0008002318791113794,-0.004647430498152971,-0.042441196739673615
1.0,0,2,2.5244871176052777,2.5244871176052777,cross,0.0,0.117627345,-0.00083923194,-0.004646924,-0.019211333,3.40575488404453,0.1176273450255394,-0.0008392319432459772,-0.0046469238586723804,-0.019211333245038986
1.0,0,3,0.4093047080824217,0.4093047080824217,cross,0.0,0.022336695,-0.00083744084,-0.0046483385,-0.047199283,3.40575488404453,0.022336695343255997,-0.0008374408353120089,-0.004648338537663221,-0.04719928279519081
1.0,0,4,1.3579461958083225,1.3579461958083225,cross,0.0,0.024553401,-0.0008189086,-0.0046474654,-0.013357687,3.40575488404453,0.02455340139567852,-0.0008189086220227182,-0.004647465422749519,-0.013357686810195446
2.0,0,0,3.852805931225745,4.2380865243483195,self,0.0,-0.0045016333,0.0014027454,0.007918206,-0.025861612,3.852805931225745,-0.00450163334608078,0.0014027453726157546,0.007918206043541431,-0.02586161158978939
2.0,0,1,1.129141321590525,1.129141321590525,cross,0.0,0.011577068,-0.0008715462,-0.0052589593,-0.13373314,3.852805931225745,0.011577067896723747,-0.0008715462172403932,-0.005258959252387285,-0.1337331384420395
2.0,0,2,3.428146659258296,3.428146659258296,cross,0.0,0.044785265,-0.0010744026,-0.005259061,-0.126326,3.852805931225745,0.0447852648794651,-0.001074402593076229,-0.005259061232209206,-0.12632599472999573
