type,mse_deep,mse_mnl,mse_rcl,mse_single,rmse_deep,rmse_mnl,rmse_rcl,rmse_single
cross,0.3694721690246679,0.26424120279196756,0.26558001214509763,0.6659251035383608,0.6078422237922172,0.5140439697068409,0.5153445567240403,0.8160423417558434
self,2.005442266185577,1.9175177652984976,1.9430913640673029,3.600672838307689,1.4161363868588284,1.3847446570752666,1.3939481210099975,1.8975438962795272
