,true,pred_deep,pred_rcl,pred_mnl,pred_single,pred_random
0,0.055257696300186385,0.05279088,0.035720244,0.07824793,0.054319065,0.24915118985889606
1,0.6275403674774795,0.6278571,0.6244605,0.6565387,0.62778056,0.24915118985889606
2,0.034954620653979376,0.03384666,0.031779878,0.04344126,0.036374986,0.24915118985889606
3,0.43223611750884766,0.43104213,0.46653837,0.44123223,0.43279946,0.24915118985889606
4,0.03418407189875935,0.032176048,0.027103703,0.029514764,0.035030443,0.24915118985889606
5,0.5351271915127124,0.53169006,0.55477357,0.57902086,0.53349745,0.24915118985889606
6,0.48996467979873853,0.49057376,0.44354618,0.44081345,0.49229348,0.24915118985889606
7,0.16117529034986336,0.16032483,0.1864548,0.3112759,0.16160257,0.24915118985889606
8,0.2534420772222516,0.25173622,0.1402378,0.096738696,0.2554388,0.24915118985889606
9,0.03902461649856128,0.035178818,0.12416674,0.09042153,0.039570037,0.24915118985889606
10,0.3826950213959647,0.38104522,0.3596892,0.33378878,0.3819529,0.24915118985889606
11,0.07463255315933112,0.07217625,0.11490959,0.19415893,0.07406047,0.24915118985889606
12,0.03575391903300201,0.033352375,0.08159756,0.06994436,0.03670522,0.24915118985889606
13,0.258846583906729,0.2620893,0.20141625,0.12224847,0.2657385,0.24915118985889606
14,0.37195914317151385,0.36799067,0.39707118,0.34154224,0.37147537,0.24915118985889606
15,0.03618872084545607,0.032269247,0.03315587,0.040602442,0.0346186,0.24915118985889606
16,0.5068673299482228,0.5049908,0.5245875,0.532221,0.506318,0.24915118985889606
17,0.04321319241373842,0.041288048,0.03273813,0.06048608,0.04311448,0.24915118985889606
18,0.35710291478125206,0.35096952,0.3642912,0.30193168,0.3526435,0.24915118985889606
19,0.0476942688039379,0.044273093,0.054729052,0.09557384,0.045907408,0.24915118985889606
20,0.30229914128513913,0.29931885,0.28811136,0.20042166,0.3020949,0.24915118985889606
21,0.034723867177456506,0.03195548,0.044315316,0.05210863,0.03459427,0.24915118985889606
22,0.44485505200148384,0.4414987,0.47051746,0.4471545,0.44287285,0.24915118985889606
23,0.045669426069801934,0.04411459,0.040261533,0.08007523,0.04573039,0.24915118985889606
24,0.2639728528552996,0.25885338,0.18341875,0.11452124,0.2631447,0.24915118985889606
25,0.03765685742867511,0.03405994,0.090013325,0.07489898,0.0373595,0.24915118985889606
