market_id,i,j,old_price,new_price,type,true_elasticity,pred_elasticity_deep,pred_elasticity_rcl,pred_elasticity_mnl,pred_elasticity_single,price_i,error_deep,error_rcl,error_mnl,error_single
0.0,0,0,1.4543309820486257,1.5997640802534883,self,-0.43867408411850545,-0.5772851,-0.43309107,-0.44617707,-0.26056683,1.4543309820486257,-0.13861102683196452,0.005583009890218704,-0.007502981253961594,0.17810725348343465
0.0,0,1,0.9715483715975086,0.9715483715975086,cross,0.09534577004758224,0.06948025,0.095880754,0.0857,-0.02153579,1.4543309820486257,-0.025865522252000422,0.0005349842444290209,-0.009645772205270381,-0.11688155964163646
0.0,0,2,3.008619306852073,3.008619306852073,cross,0.0015385615903001789,0.027057845,-0.003942915,0.08569949,-0.07569289,1.4543309820486257,0.025519283555163766,-0.005481476363078929,0.08416092961253109,-0.07723145366488514
0.0,0,3,1.371261918853543,1.371261918853543,cross,0.11433891827997861,0.047126386,0.11249188,0.0857009,0.04680178,1.4543309820486257,-0.0672125319653481,-0.0018470349424808963,-0.02863801891741452,-0.06753713886079488
0.0,0,4,0.31495448936146575,0.31495448936146575,cross,0.07017535421815926,0.046928927,0.07173258,0.08570023,0.006087737,1.4543309820486257,-0.02324642691579873,0.0015572264436144179,0.0155248745921511,-0.0640876170602184
1.0,0,0,3.7479592481994306,4.122755173019374,self,-0.450396339448697,-0.40310365,-0.4961651,-1.2034823,-0.93638504,3.7479592481994306,0.04729268983245555,-0.04576875731109914,-0.7530859307920867,-0.48598869606613454
1.0,0,1,3.8231698593050805,3.8231698593050805,cross,-0.1719716618129968,0.21330945,-0.21108986,0.11456343,-0.3834976,3.7479592481994306,0.3852811137506723,-0.039118202560210286,0.28653508967850205,-0.21152593397405153
1.0,0,2,1.9150380314741224,1.9150380314741224,cross,0.019839706887322478,0.16926993,0.028735533,0.11456341,-0.040295172,3.7479592481994306,0.1494302274092855,0.008895826469344087,0.09472370607702155,-0.060134879370051436
1.0,0,3,1.7569284137242875,1.7569284137242875,cross,0.058030990264874495,0.51575714,0.0803654,0.114562884,-0.09764162,3.7479592481994306,0.4577261532325925,0.022334406771201097,0.05653189370824715,-0.15567260732458213
1.0,0,4,0.3027882569218474,0.3027882569218474,cross,0.10882284265025334,0.16589172,0.12514018,0.11456326,-0.028619163,3.7479592481994306,0.057068879194419816,0.016317332573097185,0.005740413851898149,-0.13744200538857654
2.0,0,0,2.5265258236342687,2.779178405997696,self,-0.6530938951034964,-0.2818239,-0.62659895,-0.7815705,-0.6301611,2.5265258236342687,0.3712699917812765,0.02649494090275173,-0.12847659907146092,0.02293278851704006
2.0,0,1,3.290628845761234,3.290628845761234,cross,-0.037809625590906455,0.044383097,-0.048682116,0.12820256,-0.012079948,2.5265258236342687,0.0821927230309108,-0.010872490381135629,0.1660121831546882,0.02572967796282561
2.0,0,2,3.7340151268008612,3.7340151268008612,cross,0.01693248505190264,0.0441174,0.018885985,0.12820236,-0.13219379,2.5265258236342687,0.02718491350814451,0.001953499964920176,0.11126987879678357,-0.1491262739379729
2.0,0,3,1.02639264657128,1.02639264657128,cross,0.077300068528065,0.08017642,0.07878132,0.12820274,-0.0071481443,2.5265258236342687,0.002876351981750222,0.001481253116718026,0.05090266784965107,-0.08444821282909205
2.0,0,4,2.0963131629217036,2.0963131629217036,cross,0.023294109863094752,0.07535813,0.021820644,0.12820305,-0.11288773,2.5265258236342687,0.05206402017468982,-0.00147346594636864,0.10490893943900638,-0.13618184254770702
