type,ae_deep,ae_mnl,ae_rcl,ae_single
cross,0.051222871607433024,0.05778311107201513,0.004746763706224487,0.08628332652140505
self,0.17139654763850667,0.2893979782167946,0.02057369859159403,0.23598311265350452
